Rank,Location City,Liquor,Wine,Beer,2019 Census Estimates,2010 Census,% Change,Liquor per capita,Wine per capita,Beer per capita
1,Houston,6453690370,2736345615,3693453599,2325502,2099451,10.77%,2775.181604,1176.668786,1588.23927
19,Pasadena,106477798,6326538,93107326,153219,149043,2.80%,45.78701631,2.720504218,40.03751706
29,Pearland,127506901,24841772,69279232,122149,91252,31.44%,54.82983932,10.68232665,29.79108683
31,Sugar Land,234162156,83170769,140518763,118600,78817,50.48%,100.6931647,35.76465168,60.425131
37,League City,80980972,10240838,49690440,106244,83560,25.54%,34.82300682,4.403710683,21.36761869
69,Katy,292599960,68856618,199776953,21729,14102,35.10%,125.8222784,29.6093566,85.90702266
70,Cypress,124959916,25106779,87627246,182459,122803,32.69%,53.73459838,10.79628356,37.68100221
